[07/01/2026 08:16] Venda: 200.0 | Desconto: 12.0 | Total: 176.00
[07/01/2026 09:24] Venda: 200.0 | Desconto: 20.0 | Total: 160.00
[07/01/2026 09:33] Venda: 200.0 | Desconto: 10.0 | Total: 180.00
[07/01/2026 09:34] Venda: 20.0 | Desconto: 4.0 | Total: 19.20
[08/01/2026 08:03] Venda: 200.0 | Desconto: 10.0 | Total: 180.00
[08/01/2026 08:03] Venda: 1000.0 | Desconto: 10.0 | Total: 900.00
[08/01/2026 08:04] Venda: 19.0 | Desconto: 5.0 | Total: 18.05
[08/01/2026 08:05] Venda: 1000.0 | Desconto: 10.0 | Total: 900.00
[08/01/2026 20:07] Venda: 100.0 | Desconto: 10.0 | Total: 90.00
[08/01/2026 20:08] Venda: 1000.0 | Desconto: 10.0 | Total: 900.00
[08/01/2026 20:08] Venda: 200.0 | Desconto: 15.0 | Total: 170.00
